year,month,day,country,state,city,hour,minute,operator,flight,actype,registration,cn_ln,ground,summary,route,totalAboard,passengerAboard,crewAboard,totalFatality,passengerFatality,crewFatality
1978,5,19,Russia,?,Pochinok,13,32,Aeroflot,6709,Tupolev TU-154B,CCCP-85169,76A-169,0,The flight engineer accidentally shut off the automatic transferring of fuel from the sump tank. Eventually all three engines stopped and the plane crashed. Fuel starvation.,"Baku,Leningrad",134,126,8,4,4,0
1978,6,23,Canada,Newfoundland and Labrador,Saint John's,0,0,Gander Aviation,?,Beech Queen Air A80,C-GGAL,LD-233,0,Crashed in heavy fog while attempting to take off.,"Saint John's,Saint Anthony",10,8,2,10,8,2
1978,6,26,Norway,?,Bergen,0,0,Helikopter Service,?,Sikorsky S-61N,LN-OQS,?,0,The helicopter crashed 87 miles northwest of Bergen on a ferry run to an oil drillilng platform.,"Bergen,Stratjford,A",18,16,2,18,16,2
1978,6,26,Canada,?,Toronto,8,8,Air Canada,189,McDonnell Douglas DC-9-32,C-FTLV,47179/289,0,"The aircraft overran the runway and crashed into a revine after an aborted takeoff due to a blown tire. The No. 3 tire failed on takeoff and debris damaged the right gear 'down and locked' switch, causing a gear unsafe indication in the cockpit. Debris was also ingested by the No. 2 engine causing a loss of reverse thrust during the rejected takeoff.","Toronto,Winnipeg",107,102,5,2,2,0
1978,8,14,Bolivia,?,Sogamoso,0,0,Aeropeca,?,Curtiss C-46,HK-1350,22557,0,"The aircraft, flying VFR, collided with a mountain in deteriorating weather condtions after being blown off course which went unnoticed because of lacking navigational equipment.","Bucaramanga,Leticia,La Paz",18,15,3,18,15,3
1978,8,30,United States of America,Nevada,Las Vegas,7,47,Las Vegas Airlines,?,Piper PA-31-350 Chieftain,N44LV,?,0,"Crashed on takeoff. Down elevator control stop backed out, limiting down elevator travel to 1 1/2 degrees of normal 20 degrees.","Las Vegas, NV,Santa Ana, CA",10,9,1,10,9,1
1978,9,3,Guinea,?,Conakry,0,0,Air Guinee,?,Ilyushin IL-18,3X-GAX,187009803,0,Crashed in a swamp.,"Conakry,Bamako",17,9,8,15,8,7
1978,9,3,Canada,BC,Coal Harbour,0,0,AirWest Airlines,?,de havilland Canada Twin Otter 200,C-FAIV,215,0,"While on approach, the aircraft yawed to the left and plunged into the ocean in a left-wing and nose-down attitude and sank. In-flight failure of the left-hand inboard flap control rod that led to a sudden retraction of the complete left-hand flap system and sudden loss of control.","Victoria harbor,Victoria Harbor Water Aerodome",13,11,2,11,9,2
1978,9,3,Zimbabwe,?,Kariba,17,30,Air Rhodesia,825,Vickers Viscount 782D,VP-WAS,297,0,"The aircraft took off from  from Kariba Airport at 17.10.  Shortly after departing Kariba, the starboard wing was hit by a SAM-7 missile.  The crew tried to make an emergency landing in a large clearing in the bush. The aircraft crash landed, striking an irrigation ditch, cart-wheeled, broke up and caught fire.  Soldiers from the Joshua Nkomo's Zimbabwe Peoples Revolution Army, who were responsible for shooting down the airliner, later killed 10 of the 18 survivors. The remaining survivors were rescued the next day.","Kariba,Salisbury",56,52,4,38,34,4
1978,9,9,United States of America,Alaska,Wrangell,14,47,Temesco Helicopter - Air Taxi,?,Soloy 12EJ3,N5384V,?,0,The helicopter experienced rotor failure. Undersized threads on anti-node bar.,"Wrangell, AK,Return",3,2,1,3,2,1
1978,9,9,Mexico,?,Mexico City,0,0,Lineas Areas del Centro,?,de Havilland Canada DHC-6 Twin Otter 100,XA-BOP,18,0,Flew into a mountain.,"Mexico City,Morelia",21,19,2,18,17,1
1978,9,13,United States of America,Alaska,Whittier,11,30,Alaska Travel,?,de Havilland DHC-2,N37741,269,0,The float plane flew into a blind canyon and crashed into water. Continued VFR flight into adverse weather conditions.,"Anchorage, AK,Whittier, AK",6,5,1,6,5,1
1978,9,14,Philippines,?,Paranaque,14,50,Philippine Air Force,?,Fokker F-27 Friendship 200,PH-FKY,10328,12,The domestic flight crashed while attempting to land at Paranaque in thunderstorms with heavy rain and wind gusts. Possible lightning strike.,"Laoag,Paranaque",28,24,4,21,17,4
1978,9,25,United States of America,California,San Diego,9,2,Pacific Southwest Airlines / Private,182,Boeing B-727-214 / Cessna 172,N533PS/N7711G,19688/589 / ?,7,"Midair collision. The PSA was descending and about to land at Lindbergh Field. The Cessna was climbing while engaged in practice approaches. The 727 overtook and struck the Cessna from the rear. The primary cause was the PSA crew lost sight of the Cessna and did not make that fact known to the ATC.  The ATC failed to realize from the PSA transmissions that they lost sight of the Cessna. One hundred thirty-five killed on the PSA, two on the Cessna and seven on the ground. Crew fatigue may have played a part in the accident as there are unofficial reports that the crew attended an all night party and had only 2 hours sleep from the night before.","Los Angeles,San Diego",137,128,9,137,128,9
1978,10,3,Finland,?,Kuopio,0,0,Military - Finish Air Force,?,Douglas C-47A-1-DK,DO-10,12050,0,"After taking off, one of engines stalled due to a damaged #5 cylinder exhaust. The pilot attempted to return to to Kuopio. He turned  but the plane lost control and crashed into Lake Juurusvesi.","Kuopio,Helsinki",15,12,3,15,12,3
1978,10,3,Myanmar,?,Mandalay,0,0,Burma Airways,?,Fokker F-27 Friendship 600,XY-ADY,10572,0,Lost both engines on climbout and made an emergency landing on a sandbank of the Irrawaddy River.,,44,40,4,2,1,1
1978,10,6,Chile,?,Santiago de Chile,0,0,Military - US Navy,?,Douglas R6D-1 (DC-6),131618,43721/375,0,"The military transport crashed into a fog-shrouded hill, 20 miles south of the city.",,18,0,0,18,0,0
1978,10,7,Russia,Sverdlovsk,?,0,0,Aeroflot,?,Yakovlev YAK-40,CCCP-87437,9431335,0,Crashed after the left engine flamed out on takeoff.,"Sverdlovsk,Kustanai",38,34,4,38,34,4
1978,10,8,United States of America,Alaska,Kenai,9,25,Era Helicopter - Air Taxi,?,Bell 205-1,N2215W,?,0,The tail rotor pitch control system failed shortly after taking off. The helicopter tried to return and crashed.,"Kenai, AK,Return",7,6,1,2,2,0
1978,10,22,Solomon Is.,?,?,0,0,Solomon Islands Airlines,?,Britten Norman BN-2A Trislander,H4-AAC,613,0,?,,11,0,0,11,0,0
1978,10,23,Russia,?,?,19,41,Aeroflot,6515,Antonov AN-24B,CCCP-46327,97305504,0,Crashed following engine flame out in icing conditions.,"Krasnodar,t:	Simferopol",26,21,5,26,21,5
1978,11,5,Egypt,?,Alexandria,0,0,Nile Delta Air Services,?,Douglas DC-3,SU-AZM,?,0,Crashed into the ocean.,,18,0,0,18,0,0
1978,11,15,Sri Lanka,?,Katunayake,23,30,Loftleidir Icelandic Airlines,1,McDonnell Douglas DC-8-Super 63CF,TF-FLA,46020/415,0,The aircraft crashed short of the runway into a coconut plantation while attempting to land in heavy rain.  Windshear. Excessive sink rate. Crew's non-conformance with approach procedures. Incorrect information supplied by the radar controller. Lack of an approach lighting system at Bandaranaike.,"Jeddah,Colombo",262,249,13,183,175,8
1978,11,19,India,Ladakh,Leh,11,0,Military - Indian Air Force,?,Antonov An-12,?,?,1,Crashed into a mountain and burned short of the runway after experiencing engine failure.,"Chandigarh,Leh",77,70,7,77,70,7
1978,11,21,Venezuela,?,Rubio,0,0,Aereo el Venado,?,Douglas C-47A,HK-1393,19053,0,Crashed in the Rubio mountains.,"Cucuta,Arauca",27,24,3,27,24,3
1978,11,25,United States of America,Alaska,Hydaburg,15,55,Tyee Airlines,?,de Havilland DHC-2,N37906,600,0,"Crashed in rain, fog and low ceiling. Continued VFR flight into deteriorating weather conditions.","Ketchikan,Hydaburg",5,4,1,5,4,1
1978,12,4,United States of America,Colorado,Steamboat Springs,19,45,Rocky Mountain Airways,217,de Havilland Canada DHC-6 Twin Otter 300,N25RM,387,0,"Forced to return to Steamboat Springs due to severe icing, the plane crashed into a 10,530 ft. mountain.  Severe icing and strong downdraughts associated with a mountain wave which combined to exceed the aircraft's capability to maintain flight. Contributing to the accident was the Captain's decision to fly into probable icing conditions that exceeded the conditions authorized by company directives.","Steamboat Springs,Denver",22,20,2,2,1,1
1978,12,16,Italy,?,Selvapiana,0,0,Air 70,?,Cessna 421 Golden Eagle,I-ASON,?,0,?,,10,9,1,10,9,1
1978,12,17,India,Telangana,Hyderabad,0,0,Indian Airlines,?,Boeing B-737-2A8,VT-EAL,20485/277,3,"Couldn't climb on takeoff due to non-availability of leading edge slats, overran the runway and killed one passenger and  3 maintenance workers on the ground cutting grass. Nonavailability of leading edge devices immediately after rotation during take off.",,132,126,6,1,1,0
1978,12,23,Italy,Sicily,Cinisi,0,39,Alitalia,4128,McDonnell Douglas DC-9-32,I-DIKQ,47227/334,0,The aircraft crashed into ocean during a landing approach. Poor monitoring of altitudes and too early a transition from ILS to visual flight procedures.,"Rome,Palermo",129,124,5,108,103,5
1978,12,28,United States of America,Oregon,Portland,18,15,United Air Lines,173,McDonnell Douglas DC-8-61,N8082U,45972/357,0,"While on a flight from Denver to Portland, the aircraft ran out of fuel while the crew was distracted with a landing gear problem. Failure of the captain to monitor properly the aircraft's fuel state and to properly respond to the low fuel state as indicated by other crew members. Contributing to the accident was the failure of the other two flight crew members either to fully comprehend the criticality of the fuel state or to successfully communicate their concern to the captain.","Denver,Portland",189,181,8,10,8,2
1979,1,24,Algeria,?,Bechar,19,40,Air Algerie,?,Nord 262A-44,7T-VSU,19,0,"Crashed short of the runway on approach. Crew error. Non-compliance with proper procedure, lack of crew coordination, crew fatigue and faulty altimiter.",,23,20,3,14,14,0
1979,1,27,France,?,Rodez,17,26,Air Rouergue,?,Fokker F-27 Friendship 500,F-BYAH,10570,0,Struck a mountain. Failure of the crew to level off at the prescribed altitude either due to inadequate monitoring or an altimeter setting error by confusion between QNH and QFE.,,6,4,2,5,3,2
1979,1,30,Japan,?,Tokyo,0,0,Varig,?,Boeing B-707-326C,PP-VLU,19235/519,0,"Contact with the cargo plane was lost 30 minutes after taking off from Tokyo Narita Airport.The cargo included 153 paintings by Manabu Mabe, returning from a Tokyo exhibition, valued at US$1.24 million. Neither the wreck nor the paintings were ever found. The cause of the accident was blamed on cabin depressurization, which killed the crew.","Tokyo,Los Angeles,Rio de Janeiro",6,0,6,6,0,6
1979,2,8,Brazil,S찾o Paulo,Agudos,0,0,TAM Lineas A梨_eas Regional,?,Embraer 110C Bandeirante,PP-SBB,100-010,0,Hit trees and burst into flames shortly after taking off.,"Bauru,Sao Paulo",18,16,2,18,16,2
1979,2,12,Zimbabwe,?,Kariba,17,0,Air Rhodesia,?,Vickers Viscount 748D,VP-YND,101,0,Shot down by rebels with 2 surface-to-air missiles a few minutes after taking off from Kariba.,"Kariba,Salisbury",59,54,5,59,54,5
1979,2,12,United States of America,West Virginia,Clarksburg,13,0,Allegheny Airlines,561,Nord 262,N29824,48,0,The plane crashed  inverted shortly after lifting off the ground. The captain's decision to take off with snow on the aircraft's wing and empennage surfaces which resulted in a loss of lateral control and a loss of lift as the aircraft ascended out of ground effect.,"Clarksburg,Washington DC",25,22,3,2,1,1
1979,2,17,New Zealand,?,Manakau Harbor,1,35,Air New Zealand,?,Fokker F-27 Friendship 500,ZK-NFC,10456,0,Flew into the water while on ILS approach. The crew was misled by a visual illusion in conditions of reduced visibility into believing they were at a safe height and consequently failed to monitor the flight instruments sufficiently to confirm their aircraft maintained a safe approach path.,"Gisborne,Auckland,Training",4,2,2,2,1,1
1979,2,19,Ethiopia,Gash-Barka Region,Barentu,0,0,Ethiopian Airlines,?,Douglas DC-3,ET-AFW,16681/33429,0,The plane crashed after a bomb exploded aboard.,,5,2,3,5,2,3
1979,3,1,United States of America,Mississippi,Gulfport,15,4,Universal Airways,?,Beech BE-70,N777AE,LB-034,0,The plane failed to maintain flying speed and crashed while attempting to take off.  Improperly loaded aircraft. Nose baggage door opened during takeoff. Flaps inoperative. Improper emergency procedures. Inadequate emergency training.,"Houston,Gulfport,New Orleans",8,7,1,8,7,1
1979,3,10,United States of America,California,Marina del Rey,17,52,Swift Aire Lines Inc.,235,Aerospatiale Nord 262A-33,N418SA,41,0,"The plane ditched into Santa Monica Bay near Marina del Rey, shortly after taking off from Santa Monica Airport. The flight crew's mismanagement of an emergency procedure following an autofeather of the right-hand propeller which resulted in their shutting down the remaining engine. A leak or break in the propeller pressure line probably caused the right engine to autofeather. The left engine was shut down when the flight crew failed to identify the engine on which the autofeather occurred and moved the left power lever to the stop position. Contributing to the accident was the unavailability of vital restart information to the crew.","New York,Santa Monica",7,4,3,3,1,2
1979,3,14,China,?,Beijing,8,52,CAAC,?,Hawker Siddeley Trident 2E,B-274,2172,32,The aircraft crashed into a factory after being stolen and flown by pilot who was not qualified to fly.,,12,0,12,12,0,12
1979,3,14,Qatar,?,Doha,23,40,Alia Royal Jordanian Airlines,600,Boeing B-727-2D3,JY-ADU,20886/1061,0,"Despite two missed approaches in thunderstorms, the pilot declined the controllers' suggestion to divert to Dubai. The aircraft landed heavily on the runway (due to windshear), suffered landing gear damage, veered off the runway and crashed into a fire station building not far from the terminal building. At that time, all on board were still alive. Fire from spilled fuel started shortly thereafter and there was panic to escape the cabin. 
The aircraft was named ""The City of Petra.""","Amman,Doha",64,49,15,45,41,4
1979,3,17,Russia,?,Moscow,19,44,Aeroflot,1691,Tupolev TU-104B,CCCP-42444,921001,0,The aircarft crashed in freezing rain and fog shortly after taking off. The aircraft was overloaded. The pilot had very little experience flying the aircraft type.,"Moscow,Odessa",119,113,6,58,57,1
1979,3,26,Angola,?,Luanda,0,0,Interflug,?,Ilyushin IL-18D,DM-STL,186009402,0,"The cargo plane lost the No. 2 engine on takeoff, overran the runway, crashed into the ILS localizer antenna, broke up and caught fire.","Luanda,Berlin",10,6,4,10,6,4
1979,3,29,Canada,Quebec,Ste. Foy,0,0,Quebecair,255,Fairchild F-27,CF-QBL,47,0,Engine failure shortly after takeoff caused damage so the landing gear could not be retracted and increasing drag during the critical climbout phase. Airspeed slowed until the aircraft crashed.,"Quebec,Montreal",24,21,3,17,14,3
1979,4,14,United States of America,California,?,0,0,Catalina Airlines,?,Grumman G-21 Goose,N11CS,1166,0,"During an attempted go-around, the plane struck boat wakes and crashed. One passenger drowned.","San Pedro, CA,Catalina, CA",11,10,1,1,1,0
1979,4,18,United States of America,New Jersey,Newark,18,23,New York Airways,?,Sikorsky S61-L,N618PA,61426,0,Tail rotor separated in flight shortly after takeoff. The helicopter autorotated and crashed. Fatigue fracture in tail rotor.,"Newark, NJ,Flushing, NY",18,15,3,3,3,0
1979,4,23,Ecuador,?,Cuenca,0,0,SAETA,?,Vickers Viscount 785D,HC-AVP,329,0,The aircraft disappeared while en route. Wreckage was not discovered for over 5 years.,"Quito,Cuenca",57,52,5,57,52,5
1979,5,25,United States of America,Alaska,?,20,40,Sea Airmotive,?,de Havilland Canada DHC-4A Caribou,N581PA,253,0,"The cargo plane crashed in heavy crosswind while attempting to takeoff. Inadequate preflight preparation and/or planning. Pilot in command failed to follow approved procedures,directives,etc. Cargo shifted.","Bullen Point,Deadhorse",3,0,3,3,0,3
1979,5,25,United States of America,Illinois,Chicago,15,4,American Airlines,191,McDonnell Douglas DC-10-10,N110AA,46510/22,2,"During takeoff just, as the plane lifted from the runway, the left engine and pylon separated from the aircraft damaging the wing and hydraulic system which caused the aircraft to roll and crash. Highest single plane death toll in U.S. aviation history. Asymmetrical stall and the ensuing roll of the aircraft because of the uncommanded retraction of the left wing outboard leading edge slats and the loss of stall warning and slat disagreement indication systems caused by separation of the engine and pylon. Improper maintenance procedures used by American Airlines when dismounting the engines for maintenance, by removing the pylon and engine together, putting strain on the engine mounts leading to  stress cracks.","Chicago, IL,Los Angeles, CA",271,258,13,271,258,13
1979,5,27,Senegal,?,Dakar,0,0,Military - Mauritanian Air Force,?,de Havilland Canada DHC-5D Buffalo,5T-MAX,88,0,"Crashed into the Atlantic Ocean during a blinding sandstorm. The pilot, unable to land due to the sandstorm headed out to sea for another approach when the accident occurred.","Bouceif,Dakar",12,7,5,12,7,5
1979,5,30,United States of America,Maine,Rockland,20,55,Downeast Airlines,46,de Havilland DHC-6-200,N68DE,229,0,"The aircraft crashed into a wooded area during a non-precision approach to Rockland, in fog . Failure to arrest aircraft's descent rate, without the runway in sight. Inordinate management pressures, the first officer's marginal instrument proficiency, the captain's inadequate supervision of the flight, inadequate crew training and the captain's chronic fatigue were all factors in the accident.","Boston,Rockland",18,16,2,17,15,2
1979,6,7,India,Ladakh,Leh,11,0,Military - Indian Air Force,?,Hindustan Aeronautics 748-2M,H2178,572,0,"Crashed near the Karmwal Pass at 16,000 ft. mountain 10 minutes after taking off from Leh.",,27,0,27,27,0,27
1979,6,17,United States of America,Massachusetts,Hyannis,22,48,Air New England,248,de Havilland Canada DHC-6 Twin Otter 300,N383EX,245,0,"The plane crashed in a heavily wooded area about 1.5 miles northeast of Barnstable Municipal Airport while on an ILS approach. The failure of the flightcrew to recognize and react in a timely manner to the gross deviation from acceptable approach parameters, resulting in a continuation of the descent well below the decision height during a precision approach without visual contact with the runway environment. Pilot fatigue.","New York, NY,Hyannis, MA",10,8,2,1,0,1
1979,7,11,Indonesia,?,Medan,19,0,Garuda Indonesia Airlines,?,Fokker F-28 Fellowship 1000,PK-GVE,11055,0,"Struck Mt. Sebayak at 5,500 ft. during its approach. Pilot error.The plane was named ""Mamberamo.""","Talang Betutu,Medan",61,57,4,61,57,4
1979,7,12,Fiji,?,Bua,10,20,Fiji Air Services,?,Britten Norman BN-2A Trislander,DQ-FBO,195,0,Crashed into a rain forest. Pilot-in-command continuing the flight into conditions where he lost visual reference with the ground which resulted in the aircraft colliding with terrain.,"Suva,Nausori,Bua,Dama",9,8,1,9,8,1
1979,7,12,United States of America,Alaska,Anchorage,9,32,Soldotna Air Services,?,Cessna 402B,N402TH,402B1034,0,Crashed in low ceiling and rain. Fluxgate compass inoperative because of chafed wires.,"Anchorage, AK,Kenai, AK",7,6,1,7,6,1
1979,7,23,Lebanon,?,Beirut,0,0,Trans Mediterranean Airways,?,Boeing 707-327C,OD-AFX,19107/507,0,"On a third practice touch-and-go landing, the plane yawed to the right, stalled and crashed in an inverted attitude.",,6,0,6,6,0,6
1979,7,24,United States of America,Virgin Islands,St. Croix,9,22,Prinair,610,de Havilland DH-114 Heron,N575PR,14125,0,The aircraft attained a nose-high attitude and pitched up shortly after taking off. The pilot's loss of control of the aircraft after takeoff because of the aircraft's grossly overweight and out-of-balance condition which resulted from misloading by the company's load control personnel. The misloading was due to the failure of the company to supervise and enforce its loading procedures.,"St. Croix,St. Kitts",21,19,2,8,7,1
1979,7,31,United Kingdom,Scotland,?,16,1,Dan Air Services,?,Hawker Siddeley HS-748-1,G-BEKF,1542,0,Crashed into the sea after overrunning the runway while taking off. Locked condition of the elevators which prevented the rotation of the aircraft into a flying attitude. Gust lock became re-engaged during pre- flight check.,,47,44,3,17,15,2
1979,8,2,United States of America,Ohio,Canton,0,0,Private,?,Cessna  501 Citation,N15NY,110,0,"The aircraft crashed 1,000 feet short of the runway during a landing attempt at Akron-Canton airfield. Baseball player Thurman Munson, 32,  who was piloting the aircraft, was killed. Munson who was practicing takeoffs and landings, allowed the plane to get too low and then slowed the aircraft to 10 knots below safe landing speed.",,3,2,1,1,0,1
1979,8,3,Russia,?,Leningrad,0,0,Aeroflot,?,LET 410M turbojet,CCCP-67206,760509,0,Crashed due to engine failure on approach.,"Smolensk,Leningrad (",14,12,2,14,12,2
1979,8,4,India,Maharashtra,Panvel,0,0,Indian Airlines,?,Hindustan Aeronautics 748 2-224,VT-DXJ,515,0,Crashed into the Kiroli Hills while on approach to Bombay at night. Momentary/intermittent loss of electrical contact in the G/S system of aircraft which gave the pilot an erroneous impression of the interception of the glide slope.,"Pune,Bombay",45,40,5,45,40,5
1979,8,11,Russia,?,Volgograd,13,35,Aeroflot / Aeroflot,7880/7628,Tupolev TU-134A / Tupolev Tu-134A,65735/65816,2351516 / 05040,0,"Midair collision at 27,200 ft. Separation error by air traffic controller. Eight-four killed on the 65735 and 94 on the 65816. Fourteen players and 3 staff members of the Russian soccer team, Pakhtakor Tashkent were killed.","Tashkent,Donetsk,Minsk /Chelyabinsk to Kishinev",178,155,13,178,155,13
1979,8,24,Russia,?,Enisseysk,0,0,Aeroflot,?,Antonov AN-12,CCCP-12963,9346407,0,Crashed into a wooded area after all four engines flamed out. Fuel contamination.,"Norisk,Krasnoyarsk",16,10,6,11,5,6
1979,8,29,Russia,?,Kirsanov,0,26,Aeroflot,?,Tupolev TU-124,CCCP-45038,3351003,0,The aircraft lost control went into a spin and crashed after an uncommanded flap extension at FL270.,"Kiev,Kazan",63,58,5,63,58,5
1979,9,3,Russia,?,Andema,1,1,Aeroflot,A-513,Antonov AN-24,CCCP-46269,77303602,0,The plane undershot the runway and crashed.,"Arkhangelsk,Amderma",44,37,7,40,35,5
1979,9,11,Taiwan,?,Taipei,0,0,China Airlines (Taiwan),?,Boeing 707-324C,B-1834,18887/431,0,Crashed into the sea after taking off.,,6,0,6,6,0,6
1979,9,14,United States of America,Oregon,Klamath Falls,20,47,Butler Aviation Inc.,-,Douglas DC-7,N455SW,44287,0,The plane was transporting company employees when it hit Surveyor Mountain 7 minutes after taking off from Klamath Falls. The plane hit trees along the crest of a mountain ridge along the flight path. Crew error. The crew's decision to undertake a direct point-to-point high cruise speed flight at low altitude.,"Redmond,Klamath Falls,Medford",12,10,2,12,10,2
1979,9,14,Italy,?,Sarroch,0,7,Aero Transporti Italiani,?,McDonnell Douglas DC-9-32,I-ATJC,47667/776,0,"The aircraft hit a mountain at an altitude of 2,000 ft. during an approach in poor weather. Crew's misjudgement in selection of a low altitude flight profile and inadequate ATC assistance.","Alghero,Cagliari",31,27,4,31,27,4
1979,9,18,Canada,?,Blink Horn Point,0,0,Pacific Coastal Airlines,?,Britten Norman BN-7A lslander,C-FZVV,238,0,Struck high ground in thick fog.,":  Comox,Port Hardy",9,8,1,4,8,1
1979,9,19,United States of America,California,Merced,0,0,Military - U.S. Air Force,?,Boeing KC-135A,58-0127,17872/342,0,Crashed while attempting touch and go landings.,,5,0,5,5,0,5
1979,9,30,Canada,British Columbia,Porpoise Bay,13,0,West Coast Air,?,de Havilland Canada DHC-6 Twin Otter 200,C-FWAF,122,0,"The aircraft was on finals when it suddenly turned right and descended in a right wing-down attitude, striking the ground and cartwheeling into trees.","Vancouver,Sechelt",16,14,2,2,1,1
1979,10,7,Greece,?,Athens,22,15,Swissair,SR316,McDonnell Douglas DC-8-62,HB-IDE,45919/312,0,The aircraft overran the runway and crashed with the left wing and tail separating before the aircraft came to a rest. The crew touched down too far down the runway at a speed higher than normal after a non-stabilized final approach. The crew did not fully apply the braking systems after a touchdown under known adverse conditions.,"Zurich,Geneva,Athens,Bombay,Beijing",156,145,11,14,14,0
1979,10,8,United States of America,Kentucky,Covington,10,8,Comair,?,Piper PA-31,N6642L,31-580,0,The plane crashed after engine failure for undetermined reasons. Improper flap configueration. Plane overloaded. Hurried departure. Inadequate flight training.,"Covington, KY,Nashville, TN",8,7,1,8,7,1
1979,10,27,Russia,?,Lensk,7,15,Aeroflot,?,Antonov An-2TP,CCCP-32322,1G97-34,0,The cargo plane crashed on takeoff. Improper loading.,"Lensk,Peleduy",12,10,2,3,2,1
1979,10,31,Mexico,?,Mexico City,5,42,Western Airlines,2605,McDonnell Douglas DC-10-10,N903WA,46929/107,1,"The aircraft struck a vehicle after landing on a closed runway in fog. The tower warned the flight three times about the closed runway. Non-compliance with the meteorological minima for the approach procedure, as cleared.  Failure to comply with the aircraft's operating procedures during the approach phase, and landing on a runway closed to traffic.","Los Angeles,Mexico City",88,77,11,72,63,9
1979,11,15,United States of America,Illinois,Chicago,12,0,American Airlines,444,Boeing B-727,?,?,0,"While en route from Chicago to Washington an explosive device detonated in the baggage compartment. The aircraft was flying at an altitude of approximately 34,500 feet, when the flight crew experienced a noise which they described as a thump. Smoke subsequently filled the cabin and the aircraft was forced to make an emergency landing at Washington-Dulles Airport. The bomb was planted by the Unabomber, a man who had been accused of attacks over an 18-year period. He was arrested in April 1996 and subsequently received a life sentence.","Chicago,Washington D.C.",78,72,6,0,0,0
1979,11,16,Russia,?,Vologda,18,40,Aeroflot,?,Yakovlev YAK-40,CCCP-87454,9431136,0,The cargo plane descended below the decision height without having established ground contact and crashed into a wooded area.,,5,0,5,3,0,3
1979,11,18,United States of America,Utah,Granger,4,56,Transamerica Airlines,?,Lockheed L-188CF Electra,N859U,2016,0,"During the descent the aircraft attained a high airspeed and high rate of descent and disintegrated in flight. A progressive failure in the aircraft's electrical system leading to the disabling or erratic performance of some critical flight instruments and flight instrument lighting while the flight was operating in night instrument meteorological condition. As a result of these conditions, the flight crew could not resolve the instrumentation anomalies to determine proper aircraft attitude reference, and became disoriented and lost control of the aircraft. The crew's efforts to regain control of the aircraft imposed aerodynamic loads which exceeded design limits of the aircraft and caused it to break up in flight.","Ogden, UT,Las Vegas, NV",3,0,3,3,0,3
1979,11,26,Saudi Arabia,?,At Ta'if,2,3,Pakistan International Airlines,740,Boeing B-707-340C,AP-AWZ,20275/844,0,After being airborne about a half an hour a cabin attendant reported a fire in the aft cabin area. Seventeen minutes later the aircraft crashed into a rocky desert while attempting an emergency landing. The blaze may have been started by a passenger possibly from a leaking kerosene stove carried aboard by a Haj pilgrim passenger.,"Jeddah,Karachi",156,145,11,156,145,11
1979,11,28,Antarctica,?,?,12,49,Air New Zealand,901,McDonnell Douglas DC-10-30,ZK-NZP,46910/182,0,"The aircraft crashed into the slopes of Mt. Erebus while on sightseeing flight to Antarctica. An incorrect computer-stored flight plan resulted in a navigational error directing the flight towards Mt. Erebus. Because of overcast, the crew descended below authorized altitude. Contributing to the accident was the crew's inexperience with flying the Antarctic route. Information about the navigational errors was suppressed by officials.","Auckland,Christchurch",257,237,20,257,237,20
1979,11,30,Colombia,San Andres,?,0,0,Aerolineas La Gaviola,?,Grumman G-21 Goose,HK-2059,1019,0,?,,9,7,2,9,7,2
1979,12,9,Russia,?,Cherskiy,0,0,Aeroflot,?,Antonov AN-26,CCCP-26547,2810,0,Shifting cargo caused the pilot to lose control and crash into a hotel.,,7,2,5,7,2,5
1979,12,12,Bolivia,?,Apolo,0,0,CAMBA,?,Martin 404,CP-1440,14114,0,?,,11,0,0,10,0,0
1979,12,18,Colombia,?,?,0,0,SATENA,?,Douglas DC-4 (C-54),FAC-1106,10853,0,Impacted a mountainside at an altitude of 3400 m.,"Arauca,Bogota",21,16,5,21,16,5
1979,12,22,Peru,?,Puerto Esperanza,14,0,Fuerza A梨_ea del Peru,?,de Havilland Canada DHC-5 Buffalo,FAP-348,55,0,Crashed into the jungle on a domestic flight 20 miles from its destination. Severe thunderstorms associated with windshear and  a hurricane is believed to have caused the crash.,"Pucallpa,Puerto Esperanza",29,24,5,29,24,5
1979,12,23,Turkey,?,Ankara,0,0,Turkish Airlines (THY),?,Fokker F-28 Fellowship 1000,TC-JAT,11071,0,"Crashed into Cubuk Hill in fog, two minutes away from landing at the airport.  The crew had deviated from the localizer course while on an ILS approach in poor weather conditions.The aircraft was named ""Trabzon.""","Ankara,Samsun",45,41,4,41,38,3
1979,12,23,Papua New Guinea,Eastern Highlands Province,Menari,0,0,Douglas Airways,?,GAF Nomad 22B,P2-DNL,39,0,Crashed into the side of a hill after a go-around.,"Port Morsbey,Maanari",16,14,2,16,14,2
1980,1,2,Haiti,?,?,0,0,Ha梨_i Air Inter,?,Britten Norman BN Islander,HH-CNC,474,0,Struck high ground in poor visibility while en route.,"Port au Prince,Cape Haitien",9,8,1,9,8,1
1980,1,14,United States of America,Alaska,Shungnak,14,0,Ambler Air Service,?,Cessna 185A,N1690Z,185-0490,0,Crashed. Continued VFR flight into adverse weather conditions.,"Ambler, AK,Kobuk, AK",9,8,1,7,6,1
